enunciado;op_a;op_b;op_c;op_d;correta;materia
Exemplo: Quanto é 5+5?;10;15;20;25;A;Matemática
Exemplo: Qual a capital da França?;Londres;Paris;Madri;Lisboa;B;Geografia
A frase em que a concordância nominal está INCORRETA é:;As roupas estão caras.;Eles enviaram anexos os documentos.;É necessário paciência com os alunos.;A janela estava meio aberta.;B;Português
O primeiro artigo da Constituição Federal de 1988 estabelece que o Brasil é uma:;Monarquia Constitucional;República Federativa;Confederação de Estados;Ditadura Parlamentar;B;Direito Constitucional
Em informática, a sigla RAM refere-se a:;Memória de apenas leitura;Memória de acesso aleatório;Processador central;Disco rígido externo;B;Informática
Qual o resultado da expressão: (10 + 5) * 2 - 4?;26;30;20;15;A;Matemática
O ato administrativo que pode ser revogado por razões de conveniência é o:;Ato vinculado;Ato discricionário;Ato nulo;Ato inexistente;B;Direito Administrativo
Assinale a alternativa com a grafia correta:;Excessão;Excessao;Exceção;Exseção;C;Português
A competência para legislar sobre Direito Civil é:;Privativa da União;Dos Municípios;Dos Estados apenas;Da ONU;A;Direito Constitucional
Qual periférico é considerado apenas de ENTRADA?;Monitor;Impressora;Teclado;Pendrive;C;Informática
Um triângulo que possui todos os lados iguais é chamado de:;Escaleno;Isósceles;Equilátero;Retângulo;C;Matemática
O princípio da administração pública que exige transparência é o da:;Legalidade;Impessoalidade;Moralidade;Publicidade;D;Direito Administrativo
Qual o antônimo de 'Efêmero'?;Passageiro;Fugaz;Duradouro;Curto;C;Português
Quem é o chefe do Poder Executivo em um Município?;Governador;Presidente;Prefeito;Vereador;C;Direito Constitucional
O atalho 'Ctrl + C' no Windows serve para:;Colar;Recortar;Copiar;Deletar;C;Informática
Se 3 laranjas custam R$ 6,00, quanto custam 10 laranjas?;R$ 10,00;R$ 20,00;R$ 15,00;R$ 30,00;B;Matemática
A demissão de um servidor público é uma forma de:;Provimento;Vacância;Promoção;Readaptação;B;Direito Administrativo
Assinale a opção em que há um erro de acentuação:;Café;Pé;Ítem;Alguém;C;Português
O mandato de um Senador no Brasil dura quantos anos?;4 anos;5 anos;8 anos;2 anos;C;Direito Constitucional
Qual dessas opções é um Sistema Operacional?;Google Chrome;Linux;Microsoft Word;Excel;B;Informática
O resultado de 2 elevado à potência 3 é:;6;5;8;9;C;Matemática
O prazo de validade de um concurso público pode ser de até:;1 ano;2 anos;5 anos;10 anos;B;Direito Administrativo
O plural de 'Cidadão' e 'Escrivão' é, respectivamente:;Cidadões e escrivões;Cidadãos e escrivães;Cidadãos e escrivões;Cidadões e escrivães;B;Português
A modalidade de licitação utilizada para a venda de bens móveis inservíveis é o:;Pregão;Convite;Leilão;Concurso;C;Direito Administrativo
No Excel, a função utilizada para somar um intervalo de células é:;=TOTAL();=SOMAR();=SOMA();=ADICIONAR();C;Informática
Em um concurso com 40 questões, um candidato acertou 85%. Quantas questões ele acertou?;32;34;36;38;B;Matemática
O ato de retirar um servidor público do cargo por falta disciplinar grave é:;Exoneração;Demissão;Aposentadoria;Readaptação;B;Direito Administrativo
Assinale a alternativa em que todas as palavras estão grafadas corretamente:;Analizar, atrás, freguês;Analisar, atraz, freguês;Analisar, atrás, freguês;Analizar, atraz, freguez;C;Português
O Poder Legislativo Federal é exercido pelo:;Supremo Tribunal Federal;Congresso Nacional;Palácio do Planalto;Ministério da Justiça;B;Direito Constitucional
Qual porta é comumente utilizada para conectar mouses e teclados atualmente?;SATA;HDMI;USB;VGA;C;Informática
Qual é o valor de x na equação 2x + 10 = 30?;5;10;15;20;B;Matemática
O princípio que impede a perseguição ou favorecimento de pessoas pela Administração é a:;Moralidade;Impessoalidade;Eficiência;Legalidade;B;Direito Administrativo
A partícula 'que' em 'Desejo que você passe' exerce função de:;Pronome relativo;Conjunção integrante;Preposição;Advérbio;B;Português
